time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,-0.6167704659,-0.197927404871,0,0,0,0.00582777610952,-0.648641808409,-0.20890733541,0,0,-0.150067319698,-0.142258722359,-2.02478721147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17673745245,-0.194308666837,0,0,0,0,0,0,0
0.5,-0.652343756391,-0.19892584436,0,0,0,0.0551731895175,-1.26102606949,-0.332572398234,0,0,-0.145697600176,-0.236997092997,-1.74529138689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25510708329,-0.199420952413,0,0,0,0,0,0,0
0.75,-0.671599485558,-0.196981337721,0,0,0,0.0709219383815,-1.4128922925,-0.396589941646,0,0,-0.157488037009,-0.440369791507,-1.21245541289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29824007025,-0.203348543901,0,0,0,0,0,0,0
1.0,-0.683191626083,-0.196798185518,0,0,0,0.0737700869164,-1.45587870646,-0.417073593723,0,0,-0.15712922105,-0.46567725637,-1.08197877276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33239066348,-0.209061575799,0,0,0,0,0,0,0
1.25,-0.670068080045,-0.196942055294,0,0,0,0.0892176572181,-1.55449870619,-0.439739911257,0,0,-0.159374982662,-0.416977610998,-1.15075606449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28532403399,-0.205176521404,0,0,0,0,0,0,0
1.5,-0.63268004076,-0.201843516894,0,0,0,0.113514345039,-1.68816813553,-0.460710643311,0,0,-0.153477729976,-0.347623357401,-1.35920422241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16952917246,-0.197112127048,0,0,0,0,0,0,0
1.75,-0.593725212761,-0.207122846214,0,0,0,0.1352770137,-1.79149040949,-0.494881485428,0,0,-0.153488770236,-0.299327352065,-1.54503567307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06584566146,-0.191145671159,0,0,0,0,0,0,0
2.0,-0.585114777725,-0.210670212426,0,0,0,0.220617475589,-1.94317141066,-0.756082200068,0,0,-0.14984811211,-0.269034168041,-1.51004128414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.989465060839,-0.16933153748,0,0,0,0,0,0,0
2.25,-0.709669681074,-0.215204553715,0,0,0,0.184063316349,-1.93936921527,-0.956835627787,0,0,-0.336566436118,-0.326935344438,-1.37069667041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14919227268,-0.214945489901,0,0,0,0,0,0,0
