time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.4098221292,0.6267280278,0,0,0,-0.0332438069,0.6259641691,0.9264404945,0,0,0.3132411742,0.2687436536,0.5833118346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1077052015,0,0.0892427596,0,0,0,0,0,0,0
0.5,0.3964847802,0.6642572196,0,0,0,0.0293810637,0.6637055478,1.2776178811,0,0,0.3030124604,0.2597509011,0.6248479939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730834146,0,0.0669226582,0,0,0,0,0,0,0
0.75,0.3524645583,0.6978527767,0,0,0,0.1011406593,0.6917051657,1.6330526329,0,0,0.2519507135,0.2491518005,0.702094741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484069281,0,0.0484045004,0,0,0,0,0,0,0
1,0.2874493438,0.7308483515,0,0,0,0.1495303089,0.7181700265,1.410635007,0,0,0.1670878659,0.2350011849,0.6405722605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361120136,0,0.0232004598,0,0,0,0,0,0,0
1.25,0.2352245387,0.7792724052,0,0,0,0.1789199212,0.7627103492,1.1891630843,0,0,0.048605774,0.2302389255,0.5912737848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582099861,0,-0.0087715778,0,0,0,0,0,0,0
1.5,0.2339775583,0.8341019215,0,0,0,0.2142345594,0.8126712717,0.7958218202,0,0,-0.0672929457,0.2242617909,0.4973520204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1093095951,0,-0.0566829532,0,0,0,0,0,0,0
1.75,0.2563656999,0.8056732688,0,0,0,0.1638546734,0.7925538896,0.3857572265,0,0,-0.1240110431,0.224955976,0.4486962617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1023581712,0,-0.0742056705,0,0,0,0,0,0,0
2,0.2531736634,0.7003867743,0,0,0,0.0743672613,0.6970923158,0.7114319503,0,0,0.0706796176,0.2433111172,0.4752163447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226063658,0,0.0184992154,0,0,0,0,0,0,0
2.25,0.3046700522,0.6836977806,0,0,0,0.0819450219,0.6795550193,0.7663697532,0,0,0.1826673266,0.2452130638,0.4725928051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438639443,0,0.0338554445,0,0,0,0,0,0,0
2.5,0.3051074701,0.6936670822,0,0,0,0.0916136149,0.6885870174,0.763952407,0,0,0.1841612705,0.2446550803,0.4682192377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413542984,0,0.0308287605,0,0,0,0,0,0,0
2.75,0.2436996105,0.7792824895,0,0,0,0.1686660369,0.7646010189,0.5151406211,0,0,0.0784210416,0.2309749761,0.4398099642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342052816,0,-0.0288885225,0,0,0,0,0,0,0
3,0.2213161011,0.8297196833,0,0,0,0.2294696258,0.8048008759,0.4270379039,0,0,0.0011984085,0.2213129096,0.4250588388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873903442,0,-0.067490212,0,0,0,0,0,0,0
3.25,0.2395744557,0.7645108558,0,0,0,0.192791804,0.7446212373,0.6417800896,0,0,0.0893221109,0.2225977622,0.4353512716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02031675,0,-0.0142039839,0,0,0,0,0,0,0
3.5,0.2765200444,0.7054081735,0,0,0,0.1490790202,0.6921333012,0.7845268695,0,0,0.1608001776,0.2259399931,0.4488536939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237442642,0,0.0193853193,0,0,0,0,0,0,0
3.75,0.3069063754,0.6924032166,0,0,0,0.13602856,0.6810839546,0.8428104299,0,0,0.2062884895,0.228876291,0.4694195174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349101626,0,0.0306324948,0,0,0,0,0,0,0
