time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,0.2526630142,0.221613785,-0.2306049331,0.1253009886,-0.0699328708,1.7191129611,2.0875747468,-0.2523736451,-2.6791682861,0,1.4614611803,-2.1713890869,0.0458182135,-3.0621883752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220884204,-0.0415795596,0.2112162548,0,0,0,0,0,0,0
0.1,0.2510502704,0.2243287279,-0.2350178909,0.1259047106,-0.0712064111,1.7171006765,2.0816440203,-0.2501527352,-2.6837404011,0,1.4756875206,-2.1787343515,0.0429631425,-3.0671519748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221753643,-0.0406461508,0.2086892978,0,0,0,0,0,0,0
0.2,0.248963484,0.2243149793,-0.2355975612,0.1255286056,-0.0708516448,1.7197039165,2.0790076239,-0.2434159197,-2.6975121397,0,1.4860550735,-2.1909492061,0.0452247489,-3.0632208827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021844196,-0.0409422194,0.2053082982,0,0,0,0,0,0,0
0.3,0.2483433836,0.2228407865,-0.2351693249,0.1253916609,-0.0697861764,1.7201806223,2.0787925737,-0.238272074,-2.7079344206,0,1.4916417197,-2.1991408233,0.045079282,-3.0634730841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217661529,-0.0409139108,0.2038934273,0,0,0,0,0,0,0
0.4,0.2491871895,0.2223448893,-0.2353393677,0.1253028195,-0.0692642551,1.7183435738,2.0810352216,-0.2392513849,-2.7059567572,0,1.4934221761,-2.2029615274,0.038890079,-3.0742290591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220495757,-0.0402864368,0.2042501578,0,0,0,0,0,0,0
0.5,0.2507262636,0.2225279483,-0.2354327614,0.1253355181,-0.0690148126,1.7152730822,2.0840930632,-0.2435325994,-2.6972737868,0,1.4929723682,-2.2031664576,0.0296596792,-3.0902442446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222362508,-0.0395951051,0.2052275379,0,0,0,0,0,0,0
0.6,0.2525450362,0.2220747116,-0.2348756281,0.1255768089,-0.0681151594,1.7121545206,2.0868177433,-0.2471027833,-2.6899916391,0,1.4920515802,-2.201676419,0.0214472206,-3.1044748459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02204783,-0.0391534947,0.2058309103,0,0,0,0,0,0,0
0.7,0.2546557744,0.2208494411,-0.2337790216,0.1263007809,-0.0665377025,1.7101819172,2.088806592,-0.2492703966,-2.6855510843,0,1.4895813651,-2.1989064652,0.0150993452,-3.1154662443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210003589,-0.0392988284,0.2062018387,0,0,0,0,0,0,0
0.8,0.2570928331,0.2188309314,-0.2327159876,0.1271840682,-0.0642367396,1.7102359794,2.0908508345,-0.250194397,-2.6836551799,0,1.4856468109,-2.1964761975,0.0112562092,-3.1221182881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189763648,-0.040156566,0.2063198334,0,0,0,0,0,0,0
0.9,0.259467241,0.2166528651,-0.2318074835,0.127646834,-0.0617779304,1.7121779564,2.0928254352,-0.2504049532,-2.6832218836,0,1.481262582,-2.1950869595,0.0094637645,-3.1252192729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016541679,-0.0413638019,0.2062151545,0,0,0,0,0,0,0
1,0.2597236035,0.21635291,-0.2296526532,0.1269234862,-0.0611010755,1.7133516115,2.0924049221,-0.2509594067,-2.682082317,0,1.4806480576,-2.1918410988,0.0076723044,-3.1283191924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158736895,-0.0415985513,0.2052093285,0,0,0,0,0,0,0
1.1,0.2592268574,0.2166658647,-0.2277378404,0.1256175968,-0.061147789,1.7150760083,2.0916283443,-0.2514921221,-2.6809861599,0,1.4808617763,-2.1888556952,0.0071731828,-3.1291823229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158521418,-0.0415167922,0.2041681324,0,0,0,0,0,0,0
1.2,0.2586998012,0.2169524375,-0.2265262186,0.1242415165,-0.0614195771,1.7171254439,2.0914359309,-0.251920708,-2.6801030557,0,1.4807210282,-2.1873000097,0.0078212937,-3.1280608658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159622157,-0.0413097481,0.2036633469,0,0,0,0,0,0,0
